name,id,state,party,incumbent,votes,pct.vote
"SINEMA, KYRSTEN",S8AZ00197,AZ,DEM,OPEN,938976,48.8736394147089
"FEINSTEIN, DIANNE",S0CA00199,CA,DEM,INCUMBENT,4777661,54.44503208530494
"MURPHY, CHRISTOPHER S MR",S2CT00132,CT,DEM,INCUMBENT,818614,59.425442888378484
"CARPER, THOMAS R",S8DE00079,DE,DEM,INCUMBENT,217358,61.31724972565525
"SCOTT, RICK GOV",S8FL00273,FL,REP,CHALLENGER,4097689,50.07700932752031
"HIRONO, MAZIE K",S2HI00106,HI,DEM,INCUMBENT,276133,71.14812810801061
"BRAUN, MIKE",S8IN00171,IN,REP,CHALLENGER,1155277,51.01026892965494
"WARREN, ELIZABETH",S2MA00170,MA,DEM,INCUMBENT,1617444,60.28834294314957
"CARDIN, BENJAMIN L",S6MD03177,MD,DEM,INCUMBENT,1363259,64.19925584453075
"KING, ANGUS STANLEY JR",S2ME00109,ME,IND,INCUMBENT,341520,54.384676999415575
"STABENOW, DEBBIE",S8MI00281,MI,DEM,INCUMBENT,2200256,52.189275118384714
"KLOBUCHAR, AMY",S6MN00267,MN,DEM,INCUMBENT,1566101,60.327163230692605
"HAWLEY, JOSHUA DAVID",S8MO00160,MO,REP,CHALLENGER,1245732,51.45890106240466
"WICKER, ROGER F",S8MS00196,MS,REP,INCUMBENT,517475,58.844834311095546
"TESTER, JON",S6MT00162,MT,DEM,INCUMBENT,246291,50.1359807509883
"CRAMER, KEVIN MR.",S8ND00120,ND,REP,CHALLENGER,178876,55.44599876632374
"FISCHER, DEBRA S",S2NE00094,NE,REP,INCUMBENT,396180,58.13685596094274
"MENENDEZ, ROBERT",S6NJ00289,NJ,DEM,INCUMBENT,1609976,53.7164675791262
"HEINRICH, MARTIN TREVOR",S2NM00088,NM,DEM,INCUMBENT,371129,53.97117399580887
"ROSEN, JACKY",S8NV00156,NV,DEM,CHALLENGER,489817,50.41873477866141
"GILLIBRAND, KIRSTEN ELIZABETH",S0NY00410,NY,DEM,INCUMBENT,3729966,66.54123024974061
"BROWN, SHERROD",S6OH00163,OH,DEM,INCUMBENT,2286730,53.197557694875634
"CASEY, ROBERT P JR",S6PA00217,PA,DEM,INCUMBENT,2745018,55.622123802891075
"WHITEHOUSE, SHELDON II",S6RI00221,RI,DEM,INCUMBENT,228679,61.47747679932898
"BLACKBURN, MARSHA MRS.",S8TN00337,TN,REP,OPEN,1224763,54.73377924299037
"CRUZ, RAFAEL EDWARD  TED",S2TX00312,TX,REP,INCUMBENT,4244204,50.92502346650035
"ROMNEY, MITT WILLARD MR",S8UT00176,UT,REP,OPEN,625617,62.654867788401354
"KAINE, TIMOTHY MICHAEL",S2VA00142,VA,DEM,INCUMBENT,1889931,56.924432316186106
"SANDERS, BERNARD",S4VT00033,VT,IND,INCUMBENT,183416,67.38825327543005
"CANTWELL, MARIA",S8WA00194,WA,DEM,INCUMBENT,1672506,58.656533472682284
"BALDWIN, TAMMY",S2WI00219,WI,DEM,INCUMBENT,1471240,55.431285649105234
"MANCHIN III, JOE",S0WV00090,WV,DEM,INCUMBENT,288808,49.54581402649804
"BARRASSO, JOHN A",S6WY00068,WY,REP,INCUMBENT,136329,67.064639905549
